id;num_recamara;num_cocina;num_bano;num_sala;num_estudio;num_garage;num_jardin
1;79481;35007;50263;64510;57690;66892;49251
2;86416;19524;23018;72245;49919;28077;57200
3;2431;76855;64547;4360;17711;99455;94045
4;46994;95392;27956;91486;88349;37015;74771
5;1545;95307;92831;33075;42818;55276;96665
6;57229;96361;98033;85300;7534;29444;30569
7;38509;19091;85113;26847;31692;48527;16949
8;37268;55680;39469;93615;84421;69602;93001
9;57006;7041;9717;20891;61500;67114;99005
10;35864;14008;25416;51832;29529;87737;32255
