id;calle;colonia;munucipio;estado;codigo_postl
1;Hat;supply-chains magenta;encompassing;Directives;32320
2;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661
3;paradigms Home;Investor Public-key;Lebanon;Designer Persistent;67213
4;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;15071
5;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;69093
6;synthesize Creative;Forint;Concrete Global SMS;Profound;17495
7;Designer Borders content-based;Tasty Customer Human;pink even-keeled;bus Internal AI;77987
8;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;99445
9;Fish;Networked;Fish;payment calculating;65761
10;Nevada;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;43439
